site,car_id,car_descrip,car_make,car_model,car_trim,car_year,car_category,car_mileage,car_price,car_extColor,car_transmission,car_driveTrain,car_vendor,car_location,car_detail_link,car_img_link
carsDotCom,702806066,Used 2010 Ford Edge Limited,Ford,Edge,Limited,2010,Used,96375,10996,White,6-Speed Automatic,FWD,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/702806066/overview/,https://www.cstatic-images.com/phototab/4/0/d/d0/554d062001d2e3225abf413c912.jpg
carsDotCom,705011411,Used 2007 BMW X5 4.8i,BMW,X5,4.8i,2007,Used,100043,12996,,,,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705011411/overview/,https://www.cstatic-images.com/stock/400x300/241212.jpg
carsDotCom,700466882,Used 2009 Nissan Murano SL,Nissan,Murano,SL,2009,Used,102932,10996,,,,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/700466882/overview/,https://www.cstatic-images.com/phototab/f/d/8/94/81fb3d43de74845340d609f11ab.jpg
carsDotCom,703443407,Used 2008 Mercedes-Benz E 63 AMG,Mercedes-Benz,,E 63 AMG,2008,Used,110550,17996,,,,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/703443407/overview/,https://www.cstatic-images.com/phototab/7/9/9/22/535587e8cdb687d67ebc9f707f1.jpg
carsDotCom,705784803,Used 2008 Mercedes-Benz C 300 Luxury 4MATIC,Mercedes-Benz,,C 300 Luxury 4MATIC,2008,Used,110650,10996,,,,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705784803/overview/,https://www.cstatic-images.com/phototab/e/6/9/68/b7e586ad4b52226226b7dd3c23e.jpg
carsDotCom,705784688,Used 2011 BMW 750 Li xDrive,BMW,750,Li xDrive,2011,Used,116538,16996,Black Sapphire Metallic,6-Speed Automatic,AWD,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705784688/overview/,https://www.cstatic-images.com/phototab/7/a/e/65/438b432390f8b251e4cf405ea9d.jpg
carsDotCom,704599162,Used 2010 Toyota Camry XLE,Toyota,Camry,XLE,2010,Used,119362,8996,Ash,6-Speed Automatic,FWD,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704599162/overview/,https://www.cstatic-images.com/phototab/1/5/2/a7/8031d47bec8f7c6fa21ff32370c.jpg
carsDotCom,702917933,Used 2007 Hyundai Santa Fe SE/LIMITED/SE W/XM/LIMITED W/XM,Hyundai,Santa Fe,SE/LIMITED/SE W/XM/LIMITED W/XM,2007,Used,120399,7996,,,,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/702917933/overview/,https://www.cstatic-images.com/phototab/d/7/0/ad/ea5a783cc97bf566e0431d5a20f.jpg
carsDotCom,702536310,Used 2014 Nissan Pathfinder Platinum,Nissan,Pathfinder,Platinum,2014,Used,122828,15996,,,,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/702536310/overview/,https://www.cstatic-images.com/phototab/c/3/e/88/274f68b23139237fa86752e8fa0.jpg
carsDotCom,705784634,Used 2006 Land Rover Range Rover Sport Supercharged,Land Rover,Range Rover Sport,Supercharged,2006,Used,123865,13996,,,,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705784634/overview/,https://www.cstatic-images.com/phototab/9/a/7/6a/7316b430c92e1c536dfd75efa3d.jpg
carsDotCom,701588173,Used 2009 Cadillac CTS Base,Cadillac,CTS,Base,2009,Used,128429,8996,,,,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/701588173/overview/,https://www.cstatic-images.com/phototab/4/1/1/8b/ae05208bdaac70759b4d2e36d8a.jpg
carsDotCom,702806074,Used 2006 Audi A3 2.0T,Audi,A3,2.0T,2006,Used,129446,5996,Black,6-Speed Automatic with Auto-Shift,FWD,Car Line of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/702806074/overview/,https://www.cstatic-images.com/phototab/4/3/e/4d/f48f20592edbea09298bc56c0ca.jpg
carsDotCom,670139409,Used 2015 Hyundai Sonata Sport,Hyundai,Sonata,Sport,2015,Used,11201,14995,,,,Virginia Auto Trader Co.,Arlington, VA,https://www.cars.com/vehicledetail/detail/670139409/overview/,https://www.cstatic-images.com/phototab/7/d/c/1a/6c9edb4211f449d1aefc1fc5763.jpg
